Name,Latitude,Longitude
Blk 724 Ang Mo Kio Ave 6,1.372152822,103.846562
Blk 628 Ang Mo Kio Ave 4,1.38099745,103.8407694
Blks 160/162 Ang Mo Kio Ave 4,1.374195125,103.8388618
Sembawang Hills Food Centre,1.372266847,103.8289968
Blk 320 Shunfu Road,1.351883473,103.8373039
Adam Food Centre,1.324226399,103.814252
Commonwealth Crescent Market,1.306948199,103.8003723
ABC Brickworks Market & Food Centre,1.286915425,103.8081658
Alexandra Village Food Centre,1.286332273,103.8045476
Pasir Panjang Food Centre,1.275968999,103.7912628
Blk 82 Telok Blangah Drive,1.273776273,103.8077663
Blk 79 Telok Blangah Drive,1.273300999,103.8076195
Blk 159 Mei Chin Road,1.293235021,103.8028827
Blk 2A Commonwealth Drive,1.299661499,103.7979349
Tanglin Halt Market,1.30060364,103.7980123
Blk 44 Holland Drive Singapore,1.308172299,103.7927274
Blk 7 Empress Road,1.316402169,103.8057517
Blk 538 Bedok North Street 3,1.331816725,103.9248665
Blk 511 Bedok North Street 3,1.333127321,103.9303892
Blk 216 Bedok North Street 1,1.327122345,103.933358
Blk 208B New Upper Changi Road,1.324536821,103.9307122
Blk 85 Bedok North Street 4,1.331993973,103.9387147
Blk 58 New Upper Changi Road,1.324557365,103.9415872
Blk 16 Bedok South Road,1.320536273,103.935525
East Coast Lagoon Food Village,1.306940625,103.9349594
Blk 50A Marine Terrace,1.305695599,103.9157123
84 Marine Parade Central Market and Food Centre,1.302115473,103.906415
Dunman Food Centre,1.309437325,103.9018071
Blks 13/14 Haig Road,1.315166096,103.8954175
Geylang Serai Market,1.316696221,103.8982767
Blk 4A Eunos Crescent,1.320064999,103.9037217
Blk 630 Bedok Reservoir Road,1.332922525,103.9139817
Blk 105 Hougang Ave 1,1.354021599,103.8900112
Kovan Market & Food Centre,1.358923286,103.8863741
Blk 80 Circuit Road,1.327848647,103.887077
Blk 89 Circuit Road,1.323613369,103.885528
Blks 79/79A Circuit Road,1.325607899,103.8849622
Blk 117 Aljunied Ave 2,1.320603073,103.8869814
Blk 49 Sims Place,1.317042773,103.87934
Blk 17 Upper Boon Keng Road,1.314917999,103.8718567
Blk 69 Geylang Bahru,1.321469847,103.8700778
Blk 29 Bendemeer Road,1.319337299,103.8629927
Berseh Food Centre,1.307332447,103.8567709
Tekka Market,1.306293903,103.8506969
Pek Kio Market & Food Centre,1.316183873,103.8501988
Blks 91/92 Whampoa Drive,1.323435051,103.8541374
Blk 90 Whampoa Drive,1.323109377,103.8550902
Hong Lim Market & Food Centre,1.285150099,103.8458003
People's Park Food Centre,1.285231851,103.8425475
Blk 1 Jalan Kukoh,1.288377699,103.8399613
Zion Riverside Food Centre,1.292467973,103.8313032
Blks 22A/B Havelock Road,1.287768573,103.8295023
Beo Crescent Market,1.288808399,103.8273561
Blk 79 Redhill Lane,1.287809321,103.8182858
Blk 85 Redhill Lane,1.287327716,103.8182858
Blk 115 Bukit Merah View,1.285503051,103.8218978
Blk 163 Bukit Merah Central,1.283753699,103.8170179
Blk 11 Telok Blangah Crescent,1.277409547,103.8186613
Blk 36 Telok Blangah Rise,1.272616999,103.8219743
Bedok Food Centre,1.320540303,103.9547059
Blk 137 Tampines Street 11,1.345477273,103.9447634
Blk 2 Changi Village Road,1.389597248,103.988122
Chong Pang Market & Food Centre,1.431720675,103.8283311
Blks 20/21 Marsiling Lane,1.443877048,103.7773641
Marsiling Mall Hawker Centre,1.433464697,103.7798317
Blks 221A/B Boon Lay Place,1.346472358,103.7125238
Blk 505 Jurong West Street 52,1.349748699,103.7185337
Taman Jurong Market & Food Centre,1.334650821,103.7215938
Blk 347 Jurong East Ave 1,1.345472125,103.7316211
Blk 254 Jurong East Street 24,1.343591421,103.7376782
Bukit Timah Market,1.339417625,103.776049
Newton Newton Food Centre,1.311978073,103.8396171
